"CHAMBER","COMMITTEE_NUMBER","SUBCOMMITTEE_NUMBER","MEMBER_NUMBER"
"H","H01","001","H0317"
"H","H01","001","H0327"
"H","H01","001","H0349"
"H","H01","001","H0336"
"H","H01","001","H0366"
"H","H01","001","H0371"
"H","H01","001","H0231"
"H","H01","001","H0247"
"H","H01","001","H0259"
"H","H01","001","H0321"
"H","H01","001","H0239"
"H","H01","002","H0177"
"H","H01","002","H0208"
"H","H01","002","H0281"
"H","H01","002","H0336"
"H","H01","002","H0366"
"H","H01","002","H0371"
"H","H01","002","H0124"
"H","H01","002","H0231"
"H","H01","002","H0247"
"H","H01","002","H0267"
"H","H01","002","H0239"
"H","H01","003","H0305"
"H","H01","003","H0327"
"H","H01","003","H0208"
"H","H01","003","H0281"
"H","H01","003","H0349"
"H","H01","003","H0366"
"H","H01","003","H0124"
"H","H01","003","H0136"
"H","H01","003","H0267"
"H","H01","003","H0321"
"H","H01","003","H0239"
"H","H02","001","H0177"
"H","H02","001","H0172"
"H","H02","001","H0212"
"H","H02","001","H0281"
"H","H02","001","H0327"
"H","H02","001","H0267"
"H","H02","001","H0150"
"H","H02","001","H0345"
"H","H02","001","H0227"
"H","H02","002","H0327"
"H","H02","002","H0177"
"H","H02","002","H0212"
"H","H02","002","H0285"
"H","H02","002","H0301"
"H","H02","002","H0238"
"H","H02","002","H0328"
"H","H02","002","H0329"
"H","H02","002","H0227"
"H","H02","003","H0266"
"H","H02","003","H0177"
"H","H02","003","H0207"
"H","H02","003","H0343"
"H","H02","003","H0311"
"H","H02","003","H0150"
"H","H02","003","H0315"
"H","H02","003","H0350"
"H","H02","003","H0227"
"H","H02","004","H0285"
"H","H02","004","H0207"
"H","H02","004","H0301"
"H","H02","004","H0266"
"H","H02","004","H0343"
"H","H02","004","H0224"
"H","H02","004","H0267"
"H","H02","004","H0345"
"H","H02","004","H0227"
"H","H02","005","H0172"
"H","H02","005","H0212"
"H","H02","005","H0281"
"H","H02","005","H0285"
"H","H02","005","H0266"
"H","H02","005","H0238"
"H","H02","005","H0315"
"H","H02","005","H0350"
"H","H02","005","H0227"
"H","H02","006","H0212"
"H","H02","006","H0172"
"H","H02","006","H0301"
"H","H02","006","H0327"
"H","H02","006","H0311"
"H","H02","006","H0253"
"H","H02","006","H0224"
"H","H02","006","H0329"
"H","H02","006","H0227"
"H","H02","007","H0281"
"H","H02","007","H0172"
"H","H02","007","H0207"
"H","H02","007","H0343"
"H","H02","007","H0311"
"H","H02","007","H0253"
"H","H02","007","H0328"
"H","H02","007","H0345"
"H","H02","007","H0227"
"H","H07","001","H0344"
"H","H07","001","H0334"
"H","H07","001","H0311"
"H","H07","001","H0361"
"H","H07","001","H0374"
"H","H07","001","H0308"
"H","H07","001","H0328"
"H","H07","001","H0373"
"H","H07","001","H0330"
"H","H07","002","H0343"
"H","H07","002","H0323"
"H","H07","002","H0380"
"H","H07","002","H0354"
"H","H07","002","H0355"
"H","H07","002","H0224"
"H","H07","002","H0238"
"H","H07","002","H0345"
"H","H07","002","H0330"
"H","H07","003","H0311"
"H","H07","003","H0344"
"H","H07","003","H0323"
"H","H07","003","H0361"
"H","H07","003","H0354"
"H","H07","003","H0350"
"H","H07","003","H0377"
"H","H07","003","H0367"
"H","H07","003","H0330"
"H","H08","001","H0108"
"H","H08","001","H0294"
"H","H08","001","H0366"
"H","H08","001","H0356"
"H","H08","001","H0354"
"H","H08","001","H0348"
"H","H08","001","H0313"
"H","H08","001","H0337"
"H","H08","001","H0219"
"H","H08","002","H0264"
"H","H08","002","H0269"
"H","H08","002","H0380"
"H","H08","002","H0382"
"H","H08","002","H0370"
"H","H08","002","H0056"
"H","H08","002","H0262"
"H","H08","002","H0333"
"H","H08","002","H0219"
"H","H08","003","H0340"
"H","H08","003","H0269"
"H","H08","003","H0380"
"H","H08","003","H0354"
"H","H08","003","H0370"
"H","H08","003","H0352"
"H","H08","003","H0357"
"H","H08","003","H0378"
"H","H08","003","H0219"
"H","H08","004","H0219"
"H","H08","004","H0108"
"H","H08","004","H0264"
"H","H08","004","H0340"
"H","H08","004","H0354"
"H","H08","004","H0313"
"H","H08","004","H0337"
"H","H08","004","H0378"
"H","H09","001","H0323"
"H","H09","001","H0311"
"H","H09","001","H0356"
"H","H09","001","H0380"
"H","H09","001","H0372"
"H","H09","001","H0315"
"H","H09","001","H0335"
"H","H09","001","H0363"
"H","H09","001","H0266"
"H","H09","002","H0343"
"H","H09","002","H0207"
"H","H09","002","H0336"
"H","H09","002","H0371"
"H","H09","002","H0355"
"H","H09","002","H0372"
"H","H09","002","H0345"
"H","H09","002","H0342"
"H","H09","002","H0362"
"H","H09","002","H0383"
"H","H09","002","H0266"
"H","H09","003","H0295"
"H","H09","003","H0343"
"H","H09","003","H0311"
"H","H09","003","H0356"
"H","H09","003","H0355"
"H","H09","003","H0313"
"H","H09","003","H0279"
"H","H09","003","H0359"
"H","H09","003","H0266"
"H","H10","001","H0330"
"H","H10","001","H0305"
"H","H10","001","H0366"
"H","H10","001","H0361"
"H","H10","001","H0370"
"H","H10","001","H0259"
"H","H10","001","H0308"
"H","H10","001","H0357"
"H","H10","001","H0108"
"H","H10","002","H0334"
"H","H10","002","H0269"
"H","H10","002","H0371"
"H","H10","002","H0353"
"H","H10","002","H0354"
"H","H10","002","H0073"
"H","H10","002","H0124"
"H","H10","002","H0325"
"H","H10","002","H0108"
"H","H10","003","H0269"
"H","H10","003","H0108"
"H","H10","003","H0334"
"H","H10","003","H0305"
"H","H10","003","H0323"
"H","H10","003","H0073"
"H","H10","003","H0308"
"H","H10","003","H0321"
"H","H11","001","H0294"
"H","H11","001","H0281"
"H","H11","001","H0351"
"H","H11","001","H0314"
"H","H11","001","H0375"
"H","H11","001","H0262"
"H","H11","001","H0259"
"H","H11","001","H0350"
"H","H11","001","H0177"
"H","H11","002","H0264"
"H","H11","002","H0212"
"H","H11","002","H0284"
"H","H11","002","H0334"
"H","H11","002","H0382"
"H","H11","002","H0315"
"H","H11","002","H0253"
"H","H11","002","H0352"
"H","H11","002","H0177"
"H","H11","003","H0281"
"H","H11","003","H0227"
"H","H11","003","H0284"
"H","H11","003","H0334"
"H","H11","003","H0351"
"H","H11","003","H0206"
"H","H11","003","H0262"
"H","H11","003","H0224"
"H","H11","003","H0177"
"H","H11","004","H0212"
"H","H11","004","H0264"
"H","H11","004","H0294"
"H","H11","004","H0314"
"H","H11","004","H0375"
"H","H11","004","H0315"
"H","H11","004","H0267"
"H","H11","004","H0329"
"H","H11","004","H0177"
"H","H11","005","H0281"
"H","H11","005","H0264"
"H","H11","005","H0314"
"H","H11","005","H0375"
"H","H11","005","H0224"
"H","H11","005","H0315"
"H","H11","005","H0177"
"H","H14","001","H0340"
"H","H14","001","H0269"
"H","H14","001","H0344"
"H","H14","001","H0372"
"H","H14","001","H0056"
"H","H14","001","H0231"
"H","H14","001","H0308"
"H","H14","001","H0173"
"H","H14","002","H0239"
"H","H14","002","H0295"
"H","H14","002","H0317"
"H","H14","002","H0372"
"H","H14","002","H0360"
"H","H14","002","H0150"
"H","H14","002","H0321"
"H","H14","002","H0333"
"H","H14","002","H0173"
"H","H14","003","H0269"
"H","H14","003","H0208"
"H","H14","003","H0239"
"H","H14","003","H0330"
"H","H14","003","H0344"
"H","H14","003","H0368"
"H","H14","003","H0242"
"H","H14","003","H0247"
"H","H14","003","H0181"
"H","H14","003","H0348"
"H","H14","003","H0173"
"H","H14","004","H0208"
"H","H14","004","H0239"
"H","H14","004","H0269"
"H","H14","004","H0181"
"H","H14","004","H0321"
"H","H14","004","H0173"
"H","H15","001","H0336"
"H","H15","001","H0239"
"H","H15","001","H0317"
"H","H15","001","H0375"
"H","H15","001","H0356"
"H","H15","001","H0360"
"H","H15","001","H0337"
"H","H15","001","H0346"
"H","H15","001","H0359"
"H","H15","001","H0379"
"H","H15","001","H0264"
"H","H15","002","H0266"
"H","H15","002","H0330"
"H","H15","002","H0351"
"H","H15","002","H0382"
"H","H15","002","H0231"
"H","H15","002","H0313"
"H","H15","002","H0264"
"H","H18","001","H0349"
"H","H18","001","H0172"
"H","H18","001","H0340"
"H","H18","001","H0365"
"H","H18","001","H0267"
"H","H18","001","H0347"
"H","H18","001","H0363"
"H","H18","001","H0284"
"H","H18","001","H0385"
"H","H18","002","H0314"
"H","H18","002","H0301"
"H","H18","002","H0340"
"H","H18","002","H0349"
"H","H18","002","H0353"
"H","H18","002","H0181"
"H","H18","002","H0262"
"H","H18","002","H0342"
"H","H18","002","H0284"
"H","H18","003","H0281"
"H","H18","003","H0295"
"H","H18","003","H0365"
"H","H18","003","H0353"
"H","H18","003","H0372"
"H","H18","003","H0242"
"H","H18","003","H0376"
"H","H18","003","H0384"
"H","H18","003","H0284"
"H","H18","004","H0295"
"H","H18","004","H0172"
"H","H18","004","H0281"
"H","H18","004","H0301"
"H","H18","004","H0372"
"H","H18","004","H0242"
"H","H18","004","H0267"
"H","H18","004","H0384"
"H","H18","004","H0284"
"H","H19","001","H0343"
"H","H19","001","H0207"
"H","H19","001","H0375"
"H","H19","001","H0353"
"H","H19","001","H0360"
"H","H19","001","H0253"
"H","H19","001","H0329"
"H","H19","001","H0383"
"H","H19","001","H0294"
"H","H19","002","H0212"
"H","H19","002","H0108"
"H","H19","002","H0301"
"H","H19","002","H0349"
"H","H19","002","H0353"
"H","H19","002","H0253"
"H","H19","002","H0328"
"H","H19","002","H0376"
"H","H19","002","H0294"
"H","H19","003","H0349"
"H","H19","003","H0212"
"H","H19","003","H0343"
"H","H19","003","H0375"
"H","H19","003","H0360"
"H","H19","003","H0329"
"H","H19","003","H0242"
"H","H19","003","H0364"
"H","H19","003","H0294"
"H","H19","004","H0301"
"H","H19","004","H0173"
"H","H19","004","H0207"
"H","H19","004","H0353"
"H","H19","004","H0355"
"H","H19","004","H0206"
"H","H19","004","H0333"
"H","H19","004","H0348"
"H","H19","004","H0294"
"H","H20","001","H0227"
"H","H20","001","H0212"
"H","H20","001","H0285"
"H","H20","001","H0317"
"H","H20","001","H0253"
"H","H20","001","H0242"
"H","H20","001","H0322"
"H","H20","003","H0208"
"H","H20","003","H0322"
"H","H20","003","H0108"
"H","H20","003","H0247"
"H","H20","003","H0181"
"H","H20","004","H0322"
"H","H20","004","H0208"
"H","H20","004","H0264"
"H","H20","004","H0305"
"H","H20","004","H0317"
"H","H20","004","H0181"
"H","H20","004","H0056"
"H","H20","004","H0315"
"H","H20","005","H0317"
"H","H20","005","H0172"
"H","H20","005","H0269"
"H","H20","005","H0305"
"H","H20","005","H0056"
"H","H20","005","H0322"
"H","H21","001","H0349"
"H","H21","001","H0239"
"H","H21","001","H0173"
"H","H21","001","H0344"
"H","H21","001","H0351"
"H","H21","001","H0340"
"H","H21","001","H0238"
"H","H21","001","H0136"
"H","H21","001","H0347"
"H","H21","001","H0364"
"H","H21","001","H0285"
"H","H21","002","H0351"
"H","H21","002","H0336"
"H","H21","002","H0365"
"H","H21","002","H0368"
"H","H21","002","H0370"
"H","H21","002","H0374"
"H","H21","002","H0308"
"H","H21","002","H0279"
"H","H21","002","H0358"
"H","H21","002","H0373"
"H","H21","002","H0285"
"H","H24","001","H0219"
"H","H24","001","H0284"
"H","H24","001","H0327"
"H","H24","001","H0208"
"H","H24","001","H0344"
"H","H24","001","H0238"
"H","H24","001","H0347"
"H","H24","001","H0346"
"H","H24","001","H0172"
"H","H24","002","H0284"
"H","H24","002","H0285"
"H","H24","002","H0305"
"H","H24","002","H0314"
"H","H24","002","H0238"
"H","H24","002","H0335"
"H","H24","002","H0379"
"H","H24","002","H0172"
"H","H24","002","H0385"
"H","H24","003","H0327"
"H","H24","003","H0208"
"H","H24","003","H0314"
"H","H24","003","H0365"
"H","H24","003","H0361"
"H","H24","003","H0073"
"H","H24","003","H0342"
"H","H24","003","H0359"
"H","H24","003","H0172"
"H","H24","004","H0305"
"H","H24","004","H0344"
"H","H24","004","H0365"
"H","H24","004","H0361"
"H","H24","004","H0073"
"H","H24","004","H0325"
"H","H24","004","H0367"
"H","H24","004","H0172"
"H","H24","004","H0385"
"S","S01","002","S0086"
"S","S01","002","S0082"
"S","S01","002","S0124"
"S","S04","001","S0129"
"S","S04","001","S0067"
"S","S04","001","S0105"
"S","S04","001","S0124"
"S","S04","001","S0118"
"S","S04","002","S0086"
"S","S04","002","S0101"
"S","S04","002","S0114"
"S","S04","002","S0115"
"S","S04","002","S0120"
"S","S04","003","S0067"
"S","S04","003","S0111"
"S","S04","003","S0122"
"S","S04","003","S0115"
"S","S04","003","S0129"
"S","S04","004","S0106"
"S","S04","004","S0111"
"S","S04","004","S0114"
"S","S04","004","S0122"
"S","S04","004","S0124"
"S","S05","001","S0062"
"S","S05","001","S0085"
"S","S05","001","S0068"
"S","S05","001","S0088"
"S","S05","001","S0086"
"S","S05","001","S0106"
"S","S05","002","S0085"
"S","S05","002","S0019"
"S","S05","002","S0080"
"S","S05","002","S0069"
"S","S05","002","S0111"
"S","S05","002","S0108"
"S","S05","003","S0067"
"S","S05","003","S0019"
"S","S05","003","S0068"
"S","S05","003","S0078"
"S","S05","003","S0108"
"S","S05","004","S0100"
"S","S05","004","S0080"
"S","S05","004","S0085"
"S","S05","004","S0098"
"S","S05","004","S0111"
"S","S05","005","S0080"
"S","S05","005","S0086"
"S","S05","005","S0078"
"S","S05","005","S0088"
"S","S05","005","S0100"
"S","S05","006","S0098"
"S","S05","006","S0062"
"S","S05","006","S0067"
"S","S05","006","S0069"
"S","S05","006","S0068"
"S","S05","006","S0106"
"S","S05","010","S0019"
"S","S05","010","S0062"
"S","S05","010","S0067"
"S","S05","010","S0069"
"S","S09","001","S0113"
"S","S09","001","S0088"
"S","S09","001","S0096"
"S","S09","001","S0116"
"S","S09","001","S0130"
"S","S09","001","S0125"
"S","S09","001","S0127"
"S","S09","003","S0100"
"S","S09","003","S0113"
"S","S09","003","S0129"
"S","S09","003","S0069"
"S","S09","003","S0088"
"S","S12","001","S0098"
"S","S12","001","S0067"
"S","S12","001","S0088"
"S","S12","001","S0111"
"S","S12","001","S0122"
"S","S12","001","S0129"
"S","S12","001","S0117"
